Rang;Type de document;Prêts;Titre;Auteur
226;Bande dessinée jeunesse;1394;Jérémy est maltraité [Texte imprimé];Saint Mars, Dominique de
228;Bande dessinée jeunesse;1392;Max est casse-cou [Texte imprimé];Saint Mars, Dominique de
236;Bande dessinée jeunesse;1354;Un enfant chez les schtroumpfs [Texte imprimé];Díaz Vizoso, Miguel
242;Bande dessinée jeunesse;1340;Lili a peur des contrôles [Texte imprimé];Saint Mars, Dominique de
253;Livre jeunesse;1315;Max et Koffi sont copains [Texte imprimé];Saint Mars, Dominique de
262;Bande dessinée jeunesse;1277;Le cycle d'Anathos : renaissance;Sobral, Patrick
263;Revue adulte;1275;Pleine vie [texte imprimé] : le magazine des couleurs du temps;
274;Revue adulte;1247;DBD [texte imprimé] : vous ne lirez plus jamais la bande dessinée comme avant;
276;Bande dessinée jeunesse;1243;L'as des pitres [Texte imprimé];Coppée, Thierry
291;Bande dessinée adulte;1205;Astérix aux Jeux Olympiques [Texte imprimé];Goscinny, René
295;Bande dessinée adulte;1193;Vol 714 pour Sydney [Texte imprimé];Hergé
300;Revue jeunesse;1189;Shan hai jing = ??? [Texte imprimé] : Ren sheng ji shi = ???? : gu shi qi wen = ????;
304;Revue jeunesse;1160;Cosinus [texte imprimé] : à partir du collège;
309;Bande dessinée adulte;1136;Le lotus bleu [Texte imprimé];Hergé
314;Bande dessinée adulte;1124;Astérix et le chaudron [Texte imprimé];Goscinny, René
316;;1124;Les Légendaires. 14. L'héritage du mal;Sobral, Patrick
322;Bande dessinée adulte;1103;L'affaire Tournesol [Texte imprimé];Hergé
326;Bande dessinée adulte;1093;Coke en stock [Texte imprimé];Hergé
331;Revue adulte;1081;Manière de voir [texte imprimé];
339;Livre jeunesse;1063;Qu'est-ce qu'il a ?;Laudec
361;Bande dessinée adulte;1015;Le cadeau de César [Texte imprimé];Goscinny, René
363;Nouveauté;1014;Betty;Arnaldur Indridason
365;Bande dessinée jeunesse;1004;Astérix et Latraviata [Texte imprimé];Uderzo, Albert
369;Revue adulte;995;L'Equipe magazine [texte imprimé];
370;Livre adulte;993;La reine dans le palais des courants d'air [Texte imprimé];Larsson, Stieg
374;Bande dessinée jeunesse;987;Max a une amoureuse [Texte imprimé];Saint Mars, Dominique de
375;Revue adulte;985;Terra eco [texte imprimé] : le magazine du développement durable;
387;Bande dessinée ado;962;Je serai toujours avec toi;Lyfoung, Patricia
404;Bande dessinée ado;936;Duel de belles;Delaf
406;Revue adulte;933;[Maison & travaux] [texte imprimé];
413;Nouveauté;920;Tuer le père : roman;Nothomb, Amélie
420;;912;Journal d'un corps;Pennac, Daniel
424;;906;Freedom;Franzen, Jonathan
426;;903;Veuf;Fournier, Jean-Louis
429;Bande dessinée jeunesse;899;Main du futur [Texte imprimé];Sobral, Patrick
432;Revue adulte;894;A vivre [texte imprimé] : architectures : le magazine de la maison;
433;CD jeunesse;894;Coco et le bébé [Texte imprimé];Du Bouchet, Paule
447;Bande dessinée jeunesse;867;C'est magique ! [Texte imprimé];Cohen, Jacqueline
461;Livre jeunesse;853;En ville avec Mimi;Cousins, Lucy
463;Livre jeunesse;852;Grosse colère [Texte imprimé];Allancé, Mireille d'
465;Bande dessinée jeunesse;850;Papa a de la classe [Texte imprimé];Laudec
472;Bande dessinée jeunesse;832;Les schtroumpfs olympiques [Texte imprimé];Peyo
475;Revue jeunesse;831;Les P'tites princesses [texte imprimé] : [le premier magazine des petites filles d'aujourd'hui qui aiment les histoires, les activités et...s'amuser!];
476;Bande dessinée jeunesse;830;Ariol [Texte imprimé] : le chevalier cheval;Guibert, Emmanuel
477;Revue jeunesse;830;J'AIME LIRE 2008 [Texte imprimé];
479;Livre jeunesse;829;Grrr ! [Texte imprimé];Maubille, Jean
486;Bande dessinée jeunesse;822;Fairy Tail. 11;Mashima, Hiro
495;Bande dessinée jeunesse;814;Photo fatale [Texte imprimé];Pommaux, Yvan
739;Livre jeunesse;665;Quel chantier ! [Texte imprimé];Delebecque, François
740;Bande dessinée ado;665;Un chemin en pente raide [Texte imprimé];Oda, Eiichiro
743;Nouveauté;664;Le poids des mensonges;MacDonald, Patricia J.
745;Livre jeunesse;660;C'est l'heure du bain, petit lion [Texte imprimé];Gomi, Taro
752;Bande dessinée jeunesse;656;Pleins feux sur le smilodon [Texte imprimé];Pommaux, Yvan
759;Bande dessinée adulte;651;Les lauriers de César [Texte imprimé];Goscinny, René
760;Revue jeunesse;651;ASTRAPI 2009;
771;Nouveauté;645;Portes ouvertes;Rankin, Ian
772;Bande dessinée jeunesse;644;Quelle mouche le pique ? [Texte imprimé];Laudec
775;Bande dessinée ado;642;Naruto. 17 [Texte imprimé];Kishimoto, Masashi
781;Bande dessinée ado;641;Gaston. 13 [Texte imprimé];Franquin, André
784;Revue adulte;641;Management [texte imprimé];
790;Bande dessinée jeunesse;638;Halloween [Texte imprimé];Gilson, François
804;Bande dessinée ado;631;Naruto. 9 [Texte imprimé];Kishimoto, Masashi
825;Bande dessinée ado;620;Gaston. 7 [Texte imprimé];Franquin, André
826;Bande dessinée jeunesse;620;Va au panier [Texte imprimé];Davis, Jim
827;Nouveauté;620;Sans un adieu;Coben, Harlan
829;Bande dessinée ado;618;L'aventure de Vivi [Texte imprimé];Oda, Eiichiro
835;Bande dessinée adulte;616;Tout schuss [Texte imprimé];Davis, Jim
936;Bande dessinée ado;582;Naruto. 7 [Texte imprimé];Kishimoto, Masashi
938;CD jeunesse;582;Coco et les bulles de savon [Enregistrement sonore];Aboulker, Isabelle
945;Livre adulte;581;Le scandale Modigliani;Follett, Ken
947;Bande dessinée ado;580;Davy back fight !! [Texte imprimé];Oda, Eiichiro
498;Bande dessinée ado;811;A l'aube d'une grande aventure [Texte imprimé];Oda, Eiichiro
