Rang;Type de document;Nombre de prêts;Titre ;Auteur
858.0;Bande dessinée jeunesse >12 ans;567.0;Naruto. 8;Kishimoto, Masashi
867.0;Bande dessinée jeunesse;564.0;Inazuma eleven. 2;Yabuno, Tenya
870.0;Bande dessinée jeunesse;563.0;Fainéant génétique;Bertschy
871.0;Livre jeunesse;563.0;Non, pas le pot !;Blake, Stéphanie
882.0;Livre jeunesse;558.0;Je veux des pâtes !;Blake, Stéphanie
884.0;DVD jeunesse;558.0;Le roi lion;
887.0;Livre jeunesse;557.0;Papa est content;Le Saux, Alain
888.0;Nouveauté;557.0;Sombre dimanche : roman;Zeniter, Alice
891.0;Bande dessinée jeunesse >12 ans;555.0;Gaston. 14;Franquin, André
893.0;Bande dessinée jeunesse;554.0;Fairy Tail. 12;Mashima, Hiro
896.0;Livre jeunesse;553.0;Le papa qui avait 10 enfants;Guettier, Bénédicte
906.0;Bande dessinée pour adulte;551.0;Astérix et la rentrée gauloise : Goscinny et Uderzo;Goscinny, René
909.0;Nouveauté;551.0;La nostalgie heureuse;Nothomb, Amélie
912.0;Bande dessinée jeunesse >12 ans;549.0;Pas de souci !;Oda, Eiichiro
913.0;Nouveauté;549.0;Mari et femme : roman;Chapsal, Madeleine
915.0;Bande dessinée jeunesse;548.0;Superstitions;Gilson, François
916.0;Bande dessinée jeunesse;548.0;Avis de tempête;Cauvin, Raoul
920.0;Revue pour adulte;546.0;Guitar part;
924.0;Bande dessinée jeunesse;544.0;Chaud et froid;Laudec
927.0;Bande dessinée pour adulte;543.0;La serpe d'or;Goscinny, René
928.0;Revue jeunesse;543.0;Histoire junior : le magazine d'histoire pour les 10-15 ans;
932.0;Bande dessinée jeunesse >12 ans;542.0;Naruto. 37;Kishimoto, Masashi
934.0;Bande dessinée jeunesse;542.0;La cuisine du diable;Gilson, François
936.0;Livre jeunesse;542.0;J'apprends avec Mimi !;Cousins, Lucy
938.0;Bande dessinée jeunesse;541.0;Zélie et compagnie : en avant toute !;Corbeyran
943.0;Livre pour adulte;541.0;Les années perdues;Clark, Mary Higgins
945.0;Livre pour adulte;540.0;Le prédicateur;Läckberg, Camilla
946.0;Bande dessinée jeunesse;540.0;Inazuma eleven. 5;Yabuno, Tenya
958.0;Bande dessinée jeunesse;537.0;Zacar et les zacariens;Sfar, Joann
959.0;Bande dessinée jeunesse;537.0;Contes de la pleine lune;Gilson, François
965.0;Bande dessinée jeunesse;536.0;Calamité à plein temps;Bertschy
969.0;Bande dessinée jeunesse;535.0;Le scarabée bleu;Pommaux, Yvan
972.0;;535.0;L'héritage. 4;Paolini, Christopher
973.0;Bande dessinée jeunesse;534.0;Inazuma eleven. 3;Yabuno, Tenya
976.0;Livre jeunesse;533.0;Va-t'en vilaine bébête !;Emberley, Ed
978.0;Revue pour adulte;533.0;L'Architecture d'aujourd'hui;
986.0;Bande dessinée jeunesse;531.0;Le marcheur de nuit;Derib
987.0;Nouveauté;531.0;Faute de preuves;Coben, Harlan
991.0;Bande dessinée jeunesse >12 ans;529.0;Gear;Oda, Eiichiro
993.0;Livre jeunesse;528.0;L'arbre de Barbapapa;Tison, Annette
506.0;Bande dessinée jeunesse >12 ans;754.0;Les liens de l'amitié;Delaf
515.0;Livre jeunesse;741.0;Sur le chantier;Barton, Byron
517.0;Bande dessinée jeunesse;740.0;Chat déchire !;Davis, Jim
519.0;Livre jeunesse;739.0;Vroum ! Vroum !;Delebecque, François
520.0;Nouveauté;738.0;Un sentiment plus fort que la peur : roman;Lévy, Marc
542.0;Bande dessinée jeunesse;714.0;Le Crabe aux pinces d'or;Hergé
544.0;Bande dessinée pour adulte;714.0;Le sanctuaire du Gondwana;Sente, Yves
545.0;Bande dessinée jeunesse;713.0;Le réveil du géant;Derib
549.0;Livre pour adulte;711.0;Etranges rivages;Arnaldur Indridason
